wave,COUNTRY_ALPHA,X001,F063,E033,A170,E023,A006,A001,E069_11,E069_12,D059,A008,E012,E114,E124,G006,X003R,A029,A041,A042,A003,A035,A034
3,AZE,1.0,8.519916142557651,5.60337552742616,5.488565488565489,0.11314984709480122,0.2528032619775739,0.8623853211009175,0.399592252803262,0.16309887869520898,0.33537206931702346,0.12334352701325178,0.9459734964322121,0.03567787971457696,0.18144750254842,0.654434250764526,0.1906218144750255,0.6187563710499491,0.17940876656472987,0.24566768603465852,0.2762487257900102,0.5902140672782875,0.1345565749235474
3,AZE,2.0,8.81018981018981,5.476340694006309,5.300699300699301,0.05778648383937316,0.33496571988246815,0.8315377081292851,0.3486777668952008,0.15181194906953965,0.28305582761998044,0.0979431929480901,0.8834476003917727,0.029382957884427033,0.12242899118511263,0.6072477962781586,0.23212536728697356,0.5759059745347699,0.15279138099902057,0.2507345739471107,0.3232125367286974,0.5925563173359452,0.14201762977473065
3,BGD,1.0,9.41617122473246,7.096153846153846,6.220359281437125,0.15820543093270367,0.8181818181818182,0.9456906729634003,0.2987012987012987,0.179456906729634,0.26210153482880755,0.15820543093270367,0.885478158205431,0.03423848878394333,0.0,0.781582054309327,0.12750885478158205,0.5867768595041323,0.15348288075560804,0.18772136953955135,0.11216056670602124,0.6824085005903188,0.1641086186540732
3,BGD,2.0,9.63298662704309,6.936548223350254,6.640483383685801,0.06047197640117994,0.827433628318584,0.9380530973451328,0.32890855457227136,0.1415929203539823,0.13421828908554573,0.20648967551622419,0.6651917404129793,0.01032448377581121,0.0,0.7625368731563422,0.25073746312684364,0.5486725663716814,0.1607669616519174,0.19321533923303835,0.10914454277286136,0.7035398230088495,0.11356932153392331
3,BGR,1.0,4.114345114345114,5.732876712328767,4.639442231075697,0.08055009823182711,0.09430255402750491,0.8565815324165029,0.13948919449901767,0.043222003929273084,0.27111984282907664,0.07662082514734773,0.6699410609037328,0.22789783889980353,0.0,0.47347740667976423,0.14931237721021612,0.4066797642436149,0.4263261296660118,0.15520628683693516,0.2082514734774067,0.46954813359528486,0.06286836935166994
3,BGR,2.0,5.57089552238806,5.856209150326797,4.679279279279279,0.06216696269982238,0.19715808170515098,0.8987566607460036,0.14564831261101244,0.04085257548845471,0.1847246891651865,0.10124333925399645,0.4422735346358792,0.1936056838365897,0.0,0.4404973357015986,0.15452930728241562,0.3641207815275311,0.46536412078152756,0.2468916518650089,0.20959147424511546,0.458259325044405,0.0852575488454707
3,BIH,1.0,6.809663250366032,5.178294573643411,5.4508670520231215,0.13275613275613277,0.33044733044733043,0.9711399711399712,0.2077922077922078,0.07215007215007214,0.36796536796536794,0.13564213564213565,0.7546897546897547,0.17893217893217894,0.0,0.5670995670995671,0.11976911976911978,0.3621933621933622,0.2828282828282828,0.4155844155844156,0.45165945165945165,0.6147186147186147,0.2352092352092352
3,BIH,2.0,7.350100603621731,5.084233261339093,5.4674556213017755,0.05325443786982249,0.3708086785009862,0.9684418145956607,0.26232741617357,0.08481262327416174,0.21893491124260356,0.14595660749506903,0.6390532544378699,0.1854043392504931,0.0,0.5285996055226825,0.14792899408284024,0.3747534516765286,0.29980276134122286,0.40039447731755423,0.4635108481262327,0.611439842209073,0.23865877712031558
3,BLR,1.0,5.0537240537240535,5.372909698996655,4.536973833902161,0.21016949152542372,0.1423728813559322,0.7762711864406779,0.1401129943502825,0.013559322033898305,0.3898305084745763,0.03728813559322034,0.8214689265536723,0.17062146892655367,0.003389830508474576,0.2847457627118644,0.15819209039548024,0.3898305084745763,0.1694915254237288,0.3480225988700565,0.30621468926553674,0.56045197740113,0.09152542372881356
3,BLR,2.0,6.377260981912145,5.163043478260869,4.209555741827326,0.0811930405965203,0.24192212096106047,0.8831814415907208,0.1309030654515327,0.009942004971002486,0.24192212096106047,0.04473902236951118,0.6793703396851698,0.1499585749792875,0.007456503728251864,0.30488815244407624,0.10024855012427507,0.23032311516155757,0.17895608947804473,0.3504556752278376,0.27340513670256833,0.6230323115161558,0.08036454018227009
3,BRA,1.0,9.513181019332162,5.994252873563219,7.464664310954063,0.14762741652021089,0.5957820738137083,0.9191564147627417,0.1282952548330404,0.0421792618629174,0.35500878734622143,0.24253075571177504,0.7539543057996485,0.1827768014059754,0.0,0.671353251318102,0.22847100175746923,0.17926186291739896,0.2759226713532513,0.6045694200351494,0.5430579964850615,0.5413005272407733,0.09666080843585237
3,BRA,2.0,9.698080279232112,5.80083857442348,6.848167539267016,0.11149825783972125,0.6933797909407665,0.9320557491289199,0.08885017421602788,0.033101045296167246,0.20905923344947736,0.1986062717770035,0.6393728222996515,0.18815331010452963,0.0,0.6132404181184669,0.2456445993031359,0.21602787456445993,0.367595818815331,0.5766550522648084,0.5418118466898955,0.6515679442508711,0.05749128919860627
3,CHE,1.0,5.601018675721562,5.482692307692307,8.032948929159803,0.11822660098522167,0.11822660098522167,0.7881773399014779,0.04926108374384237,0.0180623973727422,0.0,0.36288998357963875,0.6420361247947455,0.05582922824302135,0.0,0.2676518883415435,0.10673234811165845,0.4088669950738916,0.30870279146141216,0.27586206896551724,0.4187192118226601,0.7536945812807881,0.2413793103448276
3,CHE,2.0,6.590831918505942,5.1715575620767495,8.010050251256281,0.05804311774461028,0.19900497512437812,0.8524046434494196,0.06799336650082918,0.013266998341625208,0.0,0.41625207296849087,0.5157545605306799,0.04311774461028192,0.0,0.25870646766169153,0.11276948590381426,0.4461028192371476,0.34328358208955223,0.2470978441127695,0.37645107794361526,0.8192371475953566,0.19237147595356552
3,CHL,1.0,8.343544857768052,5.283854166666667,7.118790496760259,0.053763440860215055,0.34623655913978496,0.8817204301075269,0.11397849462365592,0.043010752688172046,0.16344086021505377,0.27741935483870966,0.7612903225806451,0.05591397849462366,0.0,0.5612903225806452,0.20430107526881722,0.35698924731182796,0.22580645161290322,0.443010752688172,0.41935483870967744,0.5956989247311828,0.28817204301075267
