wave,COUNTRY_ALPHA,F063,E033,A170,E023,A006,A001,E069_11,E069_12,D059,A008,E012,E114,E124,G006,X003R,A029,A041,A042,A003,A035,A034
3,BIH,7.03728813559322,5.1389891696750905,5.4578815679733115,0.09916666666666667,0.3475,0.97,0.23083333333333333,0.0775,0.305,0.14,0.7058333333333333,0.18166666666666667,0.0,0.5508333333333333,0.13166666666666665,0.3675,0.29,0.4091666666666667,0.45666666666666667,0.6133333333333333,0.23666666666666666
3,BLR,5.82979797979798,5.264090177133656,4.348455598455598,0.13575525812619502,0.19980879541108987,0.8379541108986616,0.13479923518164436,0.011472275334608031,0.30449330783938816,0.04158699808795411,0.7394837476099426,0.1586998087954111,0.0057361376673040155,0.29636711281070743,0.12476099426386233,0.2978011472275335,0.17495219885277247,0.3494263862332696,0.2872848948374761,0.5965583173996176,0.08508604206500955
3,BRA,9.605954465849386,5.901901901901902,7.1545215100965756,0.1294838145231846,0.6447944006999126,0.9256342957130359,0.1084864391951006,0.03762029746281715,0.28171478565179353,0.2204724409448819,0.6964129483814523,0.18547681539807523,0.0,0.642169728783902,0.23709536307961504,0.19772528433945757,0.3219597550306212,0.5905511811023622,0.5424321959755031,0.5966754155730534,0.07699037620297462
3,CHE,6.0959252971137525,5.339563862928349,8.021594684385382,0.08828382838283828,0.15841584158415842,0.8201320132013201,0.05858085808580858,0.015676567656765675,0.0,0.38943894389438943,0.5792079207920792,0.04950495049504951,0.0,0.2632013201320132,0.10973597359735973,0.4273927392739274,0.3259075907590759,0.2615511551155115,0.3976897689768977,0.7863036303630363,0.21699669966996699
3,CHL,8.654545454545454,5.3431372549019605,6.916750250752257,0.039,0.425,0.888,0.111,0.038,0.135,0.275,0.694,0.05,0.0,0.554,0.193,0.335,0.257,0.458,0.419,0.616,0.241
3,CHN,,,6.833444816053512,0.0,0.03866666666666667,0.7646666666666667,0.0,0.0,0.11333333333333333,0.22666666666666666,0.8926666666666667,0.0,0.0,0.39,0.154,0.5013333333333333,0.282,0.2926666666666667,0.10666666666666667,0.43,0.22133333333333333
3,COL,9.564085447263018,6.62654996353027,8.305796135909393,0.04497925311203319,0.4896265560165975,0.8600829875518672,0.04697095435684647,0.025394190871369293,0.0366804979253112,0.23402489626556017,0.0,0.14887966804979252,0.0,0.845311203319502,0.21261410788381743,0.2705394190871369,0.37344398340248963,0.42655601659751036,0.3965145228215768,0.6833195020746888,0.18854771784232366
3,CZE,4.011722272317403,5.946025515210991,6.394736842105263,0.14559721011333915,0.08979947689625109,0.9084568439407149,0.011333914559721011,0.007846556233653008,0.14995640802092414,0.08892763731473409,0.4385353095030514,0.03836094158674804,0.0,0.3365300784655623,0.1020052310374891,0.22493461203138623,0.3225806451612903,0.14036617262423715,0.26242371403661724,0.5998256320836965,0.05056669572798605
3,DEU,4.356608478802992,4.794585987261146,6.931784478497281,0.2690029615004936,0.10809476801579466,0.7843040473840079,0.01332675222112537,0.005923000987166831,0.02665350444225074,0.17917077986179664,0.42941757156959526,0.027640671273445213,0.07305034550839092,0.11994076999012833,0.09526159921026653,0.5148075024679171,0.054294175715695954,0.12339585389930899,0.31786771964461996,0.8830207305034551,0.33464955577492594
3,DOM,9.367149758454106,6.6275,7.126829268292683,0.16546762589928057,0.49640287769784175,0.8513189448441247,0.03117505995203837,0.014388489208633094,0.14388489208633093,0.31894484412470026,0.7026378896882494,0.13189448441247004,0.0,0.7362110311750599,0.4148681055155875,0.40047961630695444,0.1223021582733813,0.5083932853717026,0.2973621103117506,0.6786570743405276,0.12470023980815348
3,ESP,6.87658495350803,4.799070847851335,6.610972568578553,0.06275805119735756,0.2518579686209744,0.8175061932287366,0.037985136251032205,0.01486374896779521,0.042113955408753095,0.1874483897605285,0.5037159372419489,0.05202312138728324,0.0,0.6383154417836499,0.16184971098265896,0.2477291494632535,0.14285714285714285,0.43765483071841454,0.3022295623451693,0.7555739058629232,0.2171758876961189
3,EST,4.402378592666006,5.4226267880364105,4.997058823529412,0.07051909892262488,0.07933398628795299,0.7766895200783546,0.06366307541625857,0.00881488736532811,0.2742409402546523,0.04603330068560235,0.6131243878550441,0.07443682664054849,0.02840352595494613,0.16748285994123407,0.12242899118511263,0.5377081292850147,0.168462291870715,0.2703232125367287,0.21253672869735554,0.5964740450538688,0.08619000979431929
3,FIN,5.864669421487603,5.608644859813084,7.7782299084435405,0.06180344478216818,0.13272543059777103,0.8044579533941236,0.029381965552178316,0.008105369807497468,0.07598784194528875,0.23708206686930092,0.7801418439716312,0.06788247213779129,0.0,0.47619047619047616,0.1691995947315096,0.5602836879432624,0.182370820668693,0.2806484295845998,0.3465045592705167,0.8247213779128673,0.23505572441742653
3,GBR,5.27634011090573,,7.581501831501831,0.0,0.0,0.0,0.0,0.0,0.0,0.3311985361390668,0.0,0.06587374199451052,0.0,0.0,0.13906678865507777,0.4922232387923147,0.0,0.5086916742909423,0.0,0.8609332113449222,0.0
3,GEO,7.641077783426538,5.926616915422885,4.680520781171758,0.10109561752988047,0.49252988047808766,0.9457171314741036,0.07719123505976096,0.026394422310756973,0.43675298804780877,0.11603585657370517,0.6508964143426295,0.30876494023904383,0.01195219123505976,0.6384462151394422,0.20667330677290838,0.5074701195219123,0.19721115537848605,0.22858565737051792,0.3615537848605578,0.5413346613545816,0.10258964143426295
3,HRV,6.288020390824129,5.223364485981309,6.182885906040268,0.08444816053511706,0.25668896321070234,0.8520066889632107,0.1245819397993311,0.03177257525083612,0.2157190635451505,0.08444816053511706,0.6663879598662207,0.06939799331103678,0.0,0.43812709030100333,0.1596989966555184,0.6354515050167224,0.29431438127090304,0.21321070234113712,0.3302675585284281,0.6429765886287625,0.16722408026755853
3,HUN,5.39906103286385,5.112522686025408,5.860896445131376,0.1123076923076923,0.2153846153846154,0.8938461538461538,0.09538461538461539,0.027692307692307693,0.25846153846153846,0.13538461538461538,0.6184615384615385,0.05846153846153846,0.0,0.47846153846153844,0.15846153846153846,0.44153846153846155,0.2876923076923077,0.3076923076923077,0.3353846153846154,0.6353846153846154,0.1276923076923077
3,IND,8.300995024875622,6.642857142857143,6.530909090909091,0.09313725490196079,0.4823529411764706,0.9083333333333333,0.11470588235294117,0.10980392156862745,0.1303921568627451,0.2985294117647059,0.8147058823529412,0.1715686274509804,0.0,0.696078431372549,0.1784313725490196,0.37401960784313726,0.22549019607843138,0.6990196078431372,0.11078431372549019,0.515686274509804,0.10784313725490197
3,JPN,4.87936507936508,5.978695073235686,6.608357628765792,0.1157495256166983,0.0635673624288425,0.8984819734345351,0.027514231499051234,0.009487666034155597,0.07495256166982922,0.325426944971537,0.17172675521821631,0.0635673624288425,0.0,0.25332068311195444,0.12428842504743833,0.6043643263757116,0.3776091081593928,0.06261859582542695,0.39753320683111953,0.5825426944971537,0.25901328273244784
3,KOR,,5.19919028340081,,0.09047237790232186,0.1977582065652522,0.900720576461169,0.04803843074459568,0.02241793434747798,0.15692554043234588,0.11929543634907927,0.8158526821457166,0.08967173738991192,0.0,0.0,0.14971977582065651,0.5972778222578062,0.10648518815052041,0.14411529223378702,0.22738190552441953,0.46837469975980783,0.07846277021617294
3,LTU,6.470281543274244,5.789825970548862,4.986947791164659,0.053518334985133795,0.13082259663032705,0.7324083250743311,0.009910802775024777,0.002973240832507433,0.1506442021803766,0.040634291377601585,0.5104063429137761,0.2130822596630327,0.017839444995044598,0.17641228939544104,0.14469772051536176,0.7185332011892963,0.2844400396432111,0.22893954410307235,0.18434093161546086,0.5411298315163529,0.07135777998017839
